PRODUCTID,PARENTSKU,VARIATIONSKU,VARIATIONID,featured_image,product_attribute_name,product_attribute_value,product_attribute_visible,product_attribute_variation,product_attribute_position,featured,downloadable_files,download_limit,download_expiry,price,sale_price_dates_from,sale_price_dates_to,regular_price,sale_price,purchase_note,default_attributes,custom_attributes,comment_status,tax_status,tax_class,weight,length,width,height,downloadable,virtual,stock,stock_status,low_stock_threshold,stock_qty,sold_individually,manage_stock,backorders,thumbnail_id,_subscription_period,_subscription_period_interval,_subscription_length,_subscription_trial_period,_subscription_trial_length,_subscription_price,_subscription_sign_up_fee,variation_description,variation_shipping_class
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,196,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Yellow 
Size: 3T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,197,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Yellow 
Size: 4T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,198,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Yellow 
Size: 5T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,199,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Blue
Size: 12 Months",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,200,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Blue
Size: 18 Months",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,201,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Blue
Size: 2T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,202,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Blue
Size: 3T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,203,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Blue
Size: 4T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,204,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Blue
Size: 5T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,205,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Camo
Size: 12 Months",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,206,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Camo
Size: 18 Months",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,207,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,2,instock,,,no,yes,no,,,,,,,,,"Color: Camo
Size: 2T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,208,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Camo
Size: 3T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,209,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Camo
Size: 4T",
"Tuffo - Muddy Buddy Rainsuits Red, Yellow, Blue, Pink, Camo - AKRDY",,698631000000,210,,,,,,,,,-1,-1,37.5,,,39.95,37.5,,,|,closed,taxable,parent,0.55,10,10,1,no,no,0,outofstock,,,no,yes,no,,,,,,,,,"Color: Camo
Size: 5T",
